['北京','北京', '2', '/beijing']
['重庆','重庆', '9', '/chongqing']
['上海','上海', '1', '/shanghai']
['天津', '天津', '10', '/tianjin']
['内蒙古', '阿巴嘎旗', '3568', '/abagaqi']
['四川', '阿坝', '255', '/aba']
['四川', '阿坝县', '1704', '/abaxian']
['内蒙古', '阿尔山市', '680', '/aershan']
['新疆', '阿合奇县', '2238', '/aheqi']
['甘肃', '阿克塞哈萨克族自治县', '2107', '/akesai']
['新疆', '阿克苏地区', '332', '/akesudiqu']
['新疆', '阿克苏市', '2213', '/akesu']
['新疆', '阿克陶县', '2237', '/aketao']
['新疆', '阿拉尔', '389', '/alaer']
['新疆', '阿拉山口市', '3594', '/alashankoushi']
['内蒙古', '阿拉善', '57', '/alashan']
['内蒙古', '阿拉善右旗', '3578', '/ayouqi']
['内蒙古', '阿拉善左旗', '3577', '/azuoqi']
['新疆', '阿勒泰地区', '338', '/aletaidiqu']
['新疆', '阿勒泰市', '2275', '/aletai']
['西藏', '阿里', '288', '/ali']
['内蒙古', '阿鲁科尔沁旗', '3531', '/aluqinqi']
['内蒙古', '阿荣旗', '3550', '/arongqi']
['新疆', '阿图什市', '2236', '/atushi']
['新疆', '阿瓦提县', '2220', '/awati']
['黑龙江', '安达市', '815', '/anda']
['西藏', '安多县', '1943', '/anduo']
['江西', '安福县', '1116', '/anfu']
['河北', '安国市', '499', '/anguo']
['湖南', '安化县', '1392', '/anhua']
['浙江', '安吉县', '875', '/anji']
['陕西', '安康', '297', '/ankang']
['贵州', '安龙县', '1814', '/anliu']
['湖北', '安陆市', '1332', '/anlu']
['云南', '安宁市', '1815', '/anning']
['河北', '安平县', '524', '/anping']
['安徽', '安庆', '117', '/anqing']
['山东', '安丘市', '1145', '/anqiu']
['湖南', '安仁县', '1422', '/anren']
['陕西', '安塞县', '2011', '/ansai']
['贵州', '安顺', '261', '/anshun']
['吉林', '安图县', '761', '/antu']
['福建', '安溪县', '1012', '/anxi']
['四川', '安县', '1621', '/anxian']
['湖南', '安乡县', '1383', '/anxiang']
['河北', '安新县', '512', '/anxin']
['河南', '安阳', '164', '/anyang']
['河南', '安阳县', '1246', '/anyangxian']
['江西', '安义县', '1040', '/anyi']
['江西', '安远县', '1067', '/anyuan']
['四川', '安岳县', '1681', '/anyue']
['山西', '安泽县', '637', '/anzhe']
['辽宁', '鞍山', '58', '/anshan']
['西藏', '昂仁县', '1985', '/angren']
['内蒙古', '敖汉旗', '3537', '/aohanqi']
['甘肃', '瓜州县', '2105', '/anxixian']
['四川', '理县', '1696', '/ablixian']
['安徽', '宿州', '121', '/anhuisuzhou']
['西藏', '八宿县', '1955', '/basu']
['新疆', '巴楚县', '2211', '/bachu']
['湖北', '巴东县', '1371', '/badong']
['新疆', '巴里坤哈萨克自治县', '2235', '/balikun']
['内蒙古', '巴林右旗', '3533', '/bayouqi']
['内蒙古', '巴林左旗', '3532', '/bazuoqi']
['广西', '巴马瑶族自治县', '1591', '/bama']
['西藏', '巴青县', '1947', '/baqing']
['四川', '巴塘县', '1720', '/batang']
['内蒙古', '巴彦淖尔', '56', '/bayannaoer']
['黑龙江', '巴彦县', '769', '/bayan']
['西藏', '巴宜区', '1960', '/linzhixian']
['新疆', '巴音郭楞', '331', '/bayinguoleng']
['四川', '巴中', '253', '/bazhong']
['四川', '巴州区', '3510', '/bazhouqu']
['河北', '霸州市', '489', '/bazhou']
['吉林', '白城', '77', '/baicheng']
['陕西', '白河县', '2080', '/baihe']
['西藏', '白朗县', '1987', '/bailang']
['海南', '白沙', '390', '/baisha']
['吉林', '白山', '75', '/baishan']
['陕西', '白水县', '2028', '/baishui']
['甘肃', '白银', '302', '/baiyin']
['四川', '白玉县', '1716', '/baiyu']
['贵州', '白云山', '3626', '/baiyunshan']
['广西', '百色', '233', '/baise']
['河北', '柏乡县', '547', '/boxiang']
['新疆', '拜城县', '2218', '/baichengxian']
['黑龙江', '拜泉县', '782', '/baiquan']
['西藏', '班戈县', '1946', '/bange']
['青海', '班玛县', '2174', '/banma']
['安徽', '蚌埠', '112', '/bengbu']
['内蒙古', '包头', '47', '/baotou']
['河南', '宝丰县', '1276', '/baofeng']
['陕西', '宝鸡', '291', '/baoji']
['黑龙江', '宝清县', '804', '/baoqing']
['四川', '宝兴县', '1693', '/baoxing']
['江苏', '宝应县', '852', '/baoying']
['山西', '保德县', '618', '/baode']
['河北', '保定', '29', '/baoding']
['湖南', '保靖县', '1460', '/baojing']
['湖北', '保康县', '1327', '/baokang']
['云南', '保山', '270', '/baoshan']
['海南', '保亭', '391', '/baoting']
['黑龙江', '北安市', '783', '/beian']
['四川', '北川羌族自治县', '1623', '/beichuan']
['广西', '北海', '228', '/beihai']
['广西', '北流市', '1559', '/beiliu']
['辽宁', '北票市', '688', '/beipiao']
['新疆', '北屯', '346', '/beitun']
