['一', 'http://www.zdic.net/z/14/js/4E00.htm']
['乙', 'http://www.zdic.net/z/15/js/4E59.htm']
['二', 'http://www.zdic.net/z/15/js/4E8C.htm']
['十', 'http://www.zdic.net/z/16/js/5341.htm']
['丁', 'http://www.zdic.net/z/14/js/4E01.htm']
['厂', 'http://www.zdic.net/z/16/js/5382.htm']
['七', 'http://www.zdic.net/z/14/js/4E03.htm']
['卜', 'http://www.zdic.net/z/16/js/535C.htm']
['八', 'http://www.zdic.net/z/15/js/516B.htm']
['人', 'http://www.zdic.net/z/15/js/4EBA.htm']
['入', 'http://www.zdic.net/z/15/js/5165.htm']
['乂', 'http://www.zdic.net/z/15/js/4E42.htm']
['儿', 'http://www.zdic.net/z/15/js/513F.htm']
['九', 'http://www.zdic.net/z/15/js/4E5D.htm']
['匕', 'http://www.zdic.net/z/16/js/5315.htm']
['几', 'http://www.zdic.net/z/15/js/51E0.htm']
['刁', 'http://www.zdic.net/z/15/js/5201.htm']
['了', 'http://www.zdic.net/z/15/js/4E86.htm']
['乃', 'http://www.zdic.net/z/15/js/4E43.htm']
['刀', 'http://www.zdic.net/z/15/js/5200.htm']
['力', 'http://www.zdic.net/z/16/js/529B.htm']
['又', 'http://www.zdic.net/z/16/js/53C8.htm']
['乜', 'http://www.zdic.net/z/15/js/4E5C.htm']
['三', 'http://www.zdic.net/z/14/js/4E09.htm']
['干', 'http://www.zdic.net/z/19/js/5E72.htm']
['亍', 'http://www.zdic.net/z/15/js/4E8D.htm']
['于', 'http://www.zdic.net/z/15/js/4E8E.htm']
['亏', 'http://www.zdic.net/z/15/js/4E8F.htm']
['士', 'http://www.zdic.net/z/17/js/58EB.htm']
['土', 'http://www.zdic.net/z/17/js/571F.htm']
['工', 'http://www.zdic.net/z/19/js/5DE5.htm']
['才', 'http://www.zdic.net/z/1a/js/624D.htm']
['下', 'http://www.zdic.net/z/14/js/4E0B.htm']
['寸', 'http://www.zdic.net/z/18/js/5BF8.htm']
['丈', 'http://www.zdic.net/z/14/js/4E08.htm']
['大', 'http://www.zdic.net/z/17/js/5927.htm']
['兀', 'http://www.zdic.net/z/15/js/5140.htm']
['与', 'http://www.zdic.net/z/14/js/4E0E.htm']
['万', 'http://www.zdic.net/z/14/js/4E07.htm']
['弋', 'http://www.zdic.net/z/19/js/5F0B.htm']
['上', 'http://www.zdic.net/z/14/js/4E0A.htm']
['小', 'http://www.zdic.net/z/18/js/5C0F.htm']
['口', 'http://www.zdic.net/z/16/js/53E3.htm']
['山', 'http://www.zdic.net/z/18/js/5C71.htm']
['巾', 'http://www.zdic.net/z/19/js/5DFE.htm']
['千', 'http://www.zdic.net/z/16/js/5343.htm']
['乞', 'http://www.zdic.net/z/15/js/4E5E.htm']
['川', 'http://www.zdic.net/z/19/js/5DDD.htm']
['亿', 'http://www.zdic.net/z/15/js/4EBF.htm']
['彳', 'http://www.zdic.net/z/19/js/5F73.htm']
['个', 'http://www.zdic.net/z/15/js/4E2A.htm']
['么', 'http://www.zdic.net/z/15/js/4E48.htm']
['久', 'http://www.zdic.net/z/15/js/4E45.htm']
['勺', 'http://www.zdic.net/z/16/js/52FA.htm']
['丸', 'http://www.zdic.net/z/15/js/4E38.htm']
['夕', 'http://www.zdic.net/z/17/js/5915.htm']
['凡', 'http://www.zdic.net/z/15/js/51E1.htm']
['及', 'http://www.zdic.net/z/16/js/53CA.htm']
['广', 'http://www.zdic.net/z/19/js/5E7F.htm']
['亡', 'http://www.zdic.net/z/15/js/4EA1.htm']
['门', 'http://www.zdic.net/z/27/js/95E8.htm']
['丫', 'http://www.zdic.net/z/15/js/4E2B.htm']
['义', 'http://www.zdic.net/z/15/js/4E49.htm']
['之', 'http://www.zdic.net/z/15/js/4E4B.htm']
['尸', 'http://www.zdic.net/z/18/js/5C38.htm']
